Data Source: 2024 Dataset (released November 2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Cyanide compounds,'N106',C,R,NAICS 331 - Primary Metals,13000,1900,14900,25000,0,0,39900,5,39905,.,.,.,0,5,110000,0,0,0,2700000,0,40000,2850000,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Ethylbenzene,'0000100414',C,R,NAICS 331 - Primary Metals,160,500,660,0,0,0,660,.,660,.,.,.,0,.,0,0,0,0,0,120,0,660,780,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Ethylene,'0000074851',C,R,NAICS 331 - Primary Metals,16000,130,16130,0,0,0,16130,.,16130,.,.,.,0,.,0,0,0,0,0,0,0,16000,16000,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Naphthalene,'0000091203',C,R,NAICS 331 - Primary Metals,7000,1100,8100,12,0,0,8112,.,8112,.,.,.,0,.,0,0,0,0,0,2700,0,8100,10800,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Phenol,'0000108952',C,R,NAICS 331 - Primary Metals,25000,240,25240,1200,0,0,26440,46,26486,.,.,.,0,46,60,0,0,0,3400000,0,26000,3426060,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Propylene,'0000115071',C,R,NAICS 331 - Primary Metals,2500,22,2522,0,0,0,2522,.,2522,.,.,.,0,.,0,0,0,0,0,0,0,2500,2500,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Toluene,'0000108883',C,R,NAICS 331 - Primary Metals,2300,6700,9000,0,0,0,9000,.,9000,.,.,.,0,.,0,0,0,0,0,250,0,9000,9250,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1992,Xylene (mixed isomers),'0001330207',C,R,NAICS 331 - Primary Metals,630,2500,3130,0,0,0,3130,.,3130,.,.,.,0,.,0,0,0,0,0,130,0,3100,3230,0
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1993,Ammonia,'0007664417',C,R,NAICS 331 - Primary Metals,6400,16000,22400,0,0,0,22400,5000,27400,.,.,.,0,5000,130000,0,0,0,13000000,0,27000,13157000,0,
USS-CLAIRTON PLANT,15025SSCLR400ST,400 STATE ST MS 71,CLAIRTON,ALLEGHENY,PA,'15025',1993,Anthracene,'0000120127',C,R,NAICS 331 - Primary Metals,110,0,110,0,0,0,110,.,110,.,.,2,0,.,2,0,0,0,0,2900,2,110,3012,0
